,state_code,county,year,TSO4,TNH4,CA,MG,NA,K,CL,NSO4,NHNO3,WSO2,WNO3,total_SO2,total_NO3,latitude,longitude
26,AL,DeKalb,2002,112.1184,33.5541,5.1318,1.2144,5.5684,2.6835,,20.1637,52.1749,112.8292,6.4891,126.2786,84.0171,34.289001,-85.970065
27,AL,DeKalb,2003,244.101,67.0904,9.8739,1.9821,6.3056,4.8231,1.5154,51.848,85.6621,215.5836,,250.1659,151.3904,34.289001,-85.970065
28,AL,DeKalb,2004,134.3132,38.8532,4.9214,0.9662,3.1638,2.5857,1.9355,31.4676,38.2999,104.4337,,125.4231,76.544,34.289001,-85.970065
29,AL,DeKalb,2005,263.3006,71.7516,11.5483,2.0814,5.8649,5.1076,2.8806,57.9223,83.4395,232.3889,,271.0229,153.8648,34.289001,-85.970065
30,AL,DeKalb,2006,233.8034,69.1698,12.7212,2.5147,8.1707,5.0149,3.959,53.6885,79.2695,208.4621,,244.2723,147.1789,34.289001,-85.970065
31,AL,DeKalb,2007,241.4051,70.1377,13.4928,2.8806,11.1062,4.8727,3.6848,66.8137,81.598,230.8139,,275.3785,150.4378,34.289001,-85.970065
32,AL,DeKalb,2008,199.5811,60.4893,11.7834,2.4253,8.8448,4.7598,3.5655,51.7263,69.2836,156.5567,,191.0585,128.6715,34.289001,-85.970065
33,AL,DeKalb,2009,144.5634,57.1682,9.6074,1.9964,8.2015,5.3186,4.8127,37.4269,46.9612,79.744,,104.7087,103.3826,34.289001,-85.970065
34,AL,DeKalb,2010,154.5588,62.4361,12.4818,2.2806,7.1866,5.5407,2.8236,35.2461,53.564,86.4348,,109.9434,115.1483,34.289001,-85.970065
35,AL,DeKalb,2011,139.6875,48.5798,10.5473,2.2951,9.9183,5.1277,5.2307,36.6247,51.0469,63.6709,,88.0995,98.8157,34.289001,-85.970065
36,AL,DeKalb,2012,120.8673,43.5969,12.5846,2.5133,9.4114,5.2031,4.5104,30.9778,52.4913,36.87,,57.5326,95.2532,34.289001,-85.970065
37,AL,DeKalb,2013,107.1382,48.0358,9.3441,2.0005,8.2451,4.2784,4.8135,28.2685,41.6884,29.1542,,48.0096,89.0611,34.289001,-85.970065
38,AL,DeKalb,2014,105.1545,43.2579,11.917,2.0111,6.7738,4.608,2.7606,26.8665,41.6492,38.2271,,56.1474,84.2447,34.289001,-85.970065
39,AL,DeKalb,2015,84.65,43.6476,10.9079,2.0679,7.5735,4.5113,4.3396,22.75,41.4283,26.7241,,41.8979,84.4169,34.289001,-85.970065
40,AL,DeKalb,2016,68.2242,38.8878,13.5365,2.3152,8.7802,4.2224,4.3938,18.339,45.1856,25.01,,37.2421,83.3548,34.289001,-85.970065
41,AL,DeKalb,2017,65.7446,40.8132,11.859,2.2893,9.3486,4.5021,5.3003,15.2736,37.6105,21.6917,,31.8795,77.8252,34.289001,-85.970065
42,AL,DeKalb,2018,49.5179,30.5227,9.7144,1.8591,6.5625,3.9474,3.1417,10.3265,31.0537,11.9224,,18.8099,61.0827,34.289001,-85.970065
43,AR,Clark,2000,181.5306,26.9814,8.5537,2.1071,10.5082,4.879,,17.3275,71.097,62.5839,33.9206,74.1418,96.9478,34.179278,-93.098755
44,AR,Clark,2001,183.7393,24.5695,8.8789,2.2393,11.4129,4.6207,,10.9893,68.5559,60.537,32.3648,67.8661,92.0351,34.179278,-93.098755
45,AR,Clark,2002,177.1978,23.0261,9.4762,2.1567,10.1938,4.9359,,25.4152,65.2078,51.7093,2.7191,68.6614,87.1969,34.179278,-93.098755
46,AR,Clark,2003,173.0875,23.8528,9.3948,2.0497,8.2246,5.1716,1.3422,24.8502,64.1514,51.4031,,67.9784,86.9849,34.179278,-93.098755
47,AR,Clark,2004,163.5256,26.6297,8.5325,2.3045,10.9672,5.109,3.4547,26.7383,54.4046,50.0295,,67.8645,80.1696,34.179278,-93.098755
48,AR,Clark,2005,209.1513,17.1611,9.3077,1.8697,6.3235,4.6134,2.0413,26.1064,70.076,64.2111,,81.6246,86.1223,34.179278,-93.098755
49,AR,Clark,2006,156.5549,17.5053,10.5298,2.437,10.4152,4.6974,2.7949,23.4289,58.9158,48.9924,,64.6195,75.4845,34.179278,-93.098755
50,AR,Clark,2007,159.0681,19.6739,9.2374,2.2604,9.3705,4.8929,2.365,29.2416,56.2682,36.8224,,56.3263,75.0469,34.179278,-93.098755
51,AR,Clark,2008,150.675,25.8829,9.2506,2.4909,11.5546,5.2561,3.6514,22.0738,48.6952,33.1149,,47.8379,73.8034,34.179278,-93.098755
52,AR,Clark,2009,119.335,23.6309,7.8726,1.8691,8.2404,5.1981,3.2023,18.274,34.2703,27.5057,,39.6947,57.3563,34.179278,-93.098755
53,AR,Clark,2010,126.2254,22.342,10.6186,2.2947,9.423,5.2197,2.3428,18.932,44.6297,33.4501,,46.0773,66.2621,34.179278,-93.098755
54,AR,Clark,2011,118.2025,28.3833,9.6848,2.3775,12.4361,4.8354,4.0703,19.4089,45.0666,27.8252,,40.771,72.7336,34.179278,-93.098755
55,AR,Clark,2012,113.784,23.6001,12.2612,2.4672,10.2997,5.0841,3.0163,20.6968,44.4451,24.8265,,38.6311,67.3378,34.179278,-93.098755
56,AR,Clark,2013,104.3086,21.7607,9.0536,2.0115,8.3536,4.8597,2.3407,20.5799,39.5365,23.6154,,37.3421,60.6693,34.179278,-93.098755
57,AR,Clark,2014,94.0461,19.864,10.2225,2.0063,8.1387,4.4186,2.7975,15.5415,33.0226,23.396,,33.7625,52.3619,34.179278,-93.098755
58,AR,Clark,2015,74.5246,19.3851,8.962,1.9578,7.647,4.004,3.7041,14.4104,30.5746,19.5438,,29.1555,49.4736,34.179278,-93.098755
59,AR,Clark,2016,73.8091,19.2115,9.2755,1.9193,8.4023,4.4554,3.0898,14.0148,30.6635,20.2552,,29.6034,49.387,34.179278,-93.098755
60,AR,Clark,2017,78.9459,19.6452,10.1719,2.1732,9.6058,4.7936,3.5289,13.2304,30.4537,23.6573,,32.4816,49.6143,34.179278,-93.098755
61,AR,Clark,2018,56.7942,16.8782,7.5972,1.8471,7.5451,3.8649,2.1044,9.4123,25.231,12.6337,,18.9115,41.7082,34.179278,-93.098755
62,AZ,Cochise,2000,54.2006,18.2175,12.5275,1.3958,5.0307,2.1076,,3.3291,37.6664,35.3342,8.9343,37.5546,55.285,32.009405,-109.389058
63,AZ,Cochise,2001,54.5288,16.9389,13.892,1.5384,6.0424,2.1558,,2.581,29.3749,28.4754,7.4899,30.1965,45.8476,32.009405,-109.389058
64,AZ,Cochise,2002,51.4184,19.1656,13.949,1.6892,5.8544,2.3672,,4.1776,32.5859,25.9152,0.8862,28.7013,51.2333,32.009405,-109.389058
65,AZ,Cochise,2003,46.7394,17.7418,15.325,1.6622,4.5425,2.3645,0.3587,4.2399,31.5214,28.0398,,30.8682,48.762,32.009405,-109.389058
66,AZ,Cochise,2004,47.3717,16.992,11.1571,1.3794,5.198,1.8902,2.1817,4.7564,31.0499,23.2214,,26.3942,47.5483,32.009405,-109.389058
67,AZ,Cochise,2005,59.5897,15.9696,12.1466,1.5908,5.5785,2.3441,2.1811,4.0315,34.5069,30.0569,,32.746,49.9275,32.009405,-109.389058
68,AZ,Cochise,2006,50.4478,18.3463,14.8332,2.1077,6.8238,2.9804,3.4368,3.6724,30.4449,24.4515,,26.9015,48.3075,32.009405,-109.389058
69,AZ,Cochise,2007,49.7189,16.6427,12.5403,1.7712,5.1483,2.4097,2.3197,5.5835,26.5535,19.707,,23.4318,42.774,32.009405,-109.389058
70,AZ,Cochise,2008,48.8119,16.096,13.9194,1.8687,5.7478,2.695,3.2998,4.3177,24.6927,19.2978,,22.1781,40.3966,32.009405,-109.389058
71,AZ,Cochise,2009,42.8709,16.3818,12.0277,1.6484,5.5468,2.7215,2.3789,3.2342,23.1489,16.4291,,18.586,39.1628,32.009405,-109.389058
72,AZ,Cochise,2010,40.0716,14.1675,9.4382,1.4289,5.6283,2.4052,2.7316,3.9031,20.7508,17.3252,,19.9287,34.5883,32.009405,-109.389058
73,AZ,Cochise,2011,45.5485,18.9472,16.3106,2.0954,5.937,3.3834,3.1173,3.4587,27.6031,17.8769,,20.1833,46.1119,32.009405,-109.389058
74,AZ,Cochise,2012,48.3181,17.3235,15.9893,1.8003,5.4307,2.4633,2.8908,3.8239,29.6324,18.7469,,21.2981,46.4847,32.009405,-109.389058
75,AZ,Cochise,2013,42.9493,16.7932,14.194,1.8962,6.0916,2.3787,3.3137,3.936,24.0245,18.0885,,20.7137,40.4357,32.009405,-109.389058
76,AZ,Cochise,2014,37.8476,16.1402,14.3487,1.5688,5.1369,2.2715,2.372,3.5071,22.5124,18.8328,,21.1727,38.2948,32.009405,-109.389058
77,AZ,Cochise,2015,40.5646,14.082,9.81,1.2484,5.1936,1.8271,2.4648,3.5953,22.857,15.864,,18.2617,36.5758,32.009405,-109.389058
78,AZ,Cochise,2016,33.9848,15.2211,12.3466,1.4849,6.0809,2.123,3.214,2.8194,21.2399,13.5107,,15.3914,36.123,32.009405,-109.389058
79,AZ,Cochise,2017,37.4148,14.9617,17.3171,1.9013,7.2178,2.8384,3.7448,2.4584,21.641,14.3891,,16.0287,36.2588,32.009405,-109.389058
80,AZ,Cochise,2018,24.7796,13.5925,10.5988,1.4276,4.5039,2.0766,2.3088,2.0451,19.8798,7.2007,,8.5647,33.1567,32.009405,-109.389058
81,AZ,Coconino,2000,37.6925,15.1971,8.7299,1.2707,3.9468,1.4388,,2.3368,41.9779,15.3249,7.5717,16.8841,56.5075,36.058642,-112.183575
82,AZ,Coconino,2001,40.7089,14.0937,8.8805,1.3365,3.9382,1.424,,1.6807,39.7211,16.6318,7.8423,17.7526,53.1828,36.058642,-112.183575
83,AZ,Coconino,2002,34.5974,15.5549,9.7078,1.4518,4.306,1.7003,,3.3049,44.8397,17.5922,0.7969,19.7965,59.6808,36.058642,-112.183575
84,AZ,Coconino,2003,27.9063,12.0965,7.2294,1.0791,2.448,1.3482,0.5072,2.5622,33.3517,13.3845,,15.0933,44.918,36.058642,-112.183575
85,AZ,Coconino,2004,36.3259,12.7835,7.4017,1.203,3.5382,1.3392,1.2068,3.3261,39.6102,16.0811,,18.3004,51.7636,36.058642,-112.183575
86,AZ,Coconino,2005,38.8174,10.2291,7.1525,1.2133,3.0944,1.7256,1.0247,2.8383,37.6494,18.5974,,20.4905,47.2795,36.058642,-112.183575
87,AZ,Coconino,2006,35.3221,13.5396,8.4122,1.4606,3.4082,1.6914,0.9712,2.9212,37.9269,15.5289,,17.4774,50.863,36.058642,-112.183575
88,AZ,Coconino,2007,38.9046,17.4032,10.7011,1.879,4.6296,1.8496,1.5623,3.8084,38.782,14.6901,,17.2299,55.5685,36.058642,-112.183575
89,AZ,Coconino,2008,37.2468,13.6437,11.2256,1.8159,4.5678,1.6673,1.553,2.6468,30.1945,11.6254,,13.3907,43.3581,36.058642,-112.183575
90,AZ,Coconino,2009,28.7985,12.4333,7.9716,1.3256,3.9084,1.8118,1.271,2.2241,24.9875,9.3551,,10.8384,37.0233,36.058642,-112.183575
91,AZ,Coconino,2010,27.1239,11.3745,6.9257,1.1765,3.7843,1.6198,1.5842,2.5513,20.9623,8.8049,,10.5068,32.0032,36.058642,-112.183575
92,AZ,Coconino,2011,24.2324,9.7899,6.7127,1.0869,3.0467,1.1947,1.2869,2.2434,18.8154,7.1523,,8.6486,28.3059,36.058642,-112.183575
93,AZ,Coconino,2012,24.4953,10.4524,7.7425,1.1972,3.0002,1.2379,1.5711,2.5052,18.9086,7.1986,,8.8697,29.0602,36.058642,-112.183575
94,AZ,Coconino,2013,30.206,11.1279,8.1572,1.3851,3.7461,1.4868,1.857,2.3165,24.5543,10.1506,,11.6959,35.2923,36.058642,-112.183575
95,AZ,Coconino,2014,25.8533,11.711,9.1741,1.3624,4.1295,1.3101,1.5247,2.0361,24.0573,9.5955,,10.9534,35.3858,36.058642,-112.183575
96,AZ,Coconino,2015,26.6554,11.706,8.259,1.2819,4.0361,1.2511,1.5556,2.0716,21.4005,11.9271,,13.3085,32.7661,36.058642,-112.183575
97,AZ,Coconino,2016,23.4175,12.4872,9.4706,1.3852,4.2977,1.4541,1.9972,2.2132,19.5717,12.1795,,13.6558,31.7477,36.058642,-112.183575
98,AZ,Coconino,2017,22.4787,9.3188,7.8048,1.1958,3.066,1.4067,1.4989,1.892,21.486,10.7926,,12.0548,30.4632,36.058642,-112.183575
99,AZ,Coconino,2018,17.962,11.1119,8.1155,1.3206,3.8971,1.3147,1.8882,1.7272,18.0383,6.0431,,7.1954,28.8639,36.058642,-112.183575
100,AZ,Navajo,2002,9.8785,4.2694,2.1232,0.2354,0.5785,0.2686,,2.9431,16.9194,15.8822,,17.8451,20.9194,34.822508,-109.892485
101,AZ,Navajo,2003,40.163,15.703,13.6071,1.5313,3.0591,2.0265,0.3716,6.1571,58.1641,53.3626,,57.4694,72.942,34.822508,-109.892485
102,AZ,Navajo,2004,39.6225,16.2323,11.696,1.4137,3.612,1.7164,1.6447,8.2915,51.7028,51.4402,,56.9707,67.1131,34.822508,-109.892485
103,AZ,Navajo,2005,44.1273,12.8559,10.855,1.4355,3.3499,2.058,1.2225,5.6883,52.6747,53.952,,57.7464,64.6931,34.822508,-109.892485
104,AZ,Navajo,2006,40.3266,15.9517,11.9696,1.7208,3.6846,2.0562,1.412,6.3083,52.9335,56.349,,60.5569,66.8228,34.822508,-109.892485
105,AZ,Navajo,2007,49.1266,22.4792,13.5411,2.2562,5.0955,2.8402,4.0967,14.5658,53.3417,65.4321,,75.148,74.9733,34.822508,-109.892485
106,AZ,Navajo,2008,41.0654,14.8271,12.4253,1.6145,4.2404,1.7979,1.7882,7.0201,42.9353,39.7215,,44.4036,57.0797,34.822508,-109.892485
107,AZ,Navajo,2009,35.6094,17.261,13.484,1.6202,4.1925,2.6927,1.5351,4.6939,36.9694,27.1987,,30.3294,53.6428,34.822508,-109.892485
108,AZ,Navajo,2010,34.3087,14.5797,11.052,1.4223,4.0713,1.7873,2.0618,4.6387,35.1639,27.0438,,30.1377,49.184,34.822508,-109.892485
109,AZ,Navajo,2011,38.1512,16.7558,12.564,1.6488,4.3003,1.9632,1.7973,6.1457,38.6345,25.5732,,29.6721,54.7758,34.822508,-109.892485
110,AZ,Navajo,2012,38.8606,15.3321,13.948,1.6804,4.1176,1.9343,1.9278,4.6357,38.6683,23.4981,,26.5906,53.3858,34.822508,-109.892485
111,AZ,Navajo,2013,34.6731,14.0101,11.3789,1.4719,4.0063,1.5746,1.9033,4.6683,38.2654,17.3185,,20.432,51.6673,34.822508,-109.892485
112,AZ,Navajo,2014,31.5643,13.9182,13.7786,1.4474,4.2651,1.5654,1.8871,3.5009,33.0552,16.6254,,18.9608,46.4482,34.822508,-109.892485
113,AZ,Navajo,2015,29.5428,11.4049,8.0628,1.1025,3.4888,1.2764,1.3958,3.8803,28.2333,16.5057,,19.0936,39.1892,34.822508,-109.892485
114,AZ,Navajo,2016,24.3913,11.7337,11.4324,1.2315,3.9766,1.3943,1.8347,3.1436,24.7224,13.9006,,15.9976,36.062,34.822508,-109.892485
115,AZ,Navajo,2017,28.5478,11.3862,16.2631,1.4346,3.5221,1.845,1.7069,3.0459,27.8132,15.4053,,17.4369,38.7569,34.822508,-109.892485
116,AZ,Navajo,2018,19.6701,11.1802,13.5143,1.3209,3.5398,1.5958,1.9207,2.1728,23.8458,7.4717,,8.9207,34.6469,34.822508,-109.892485
117,CA,Inyo,2000,46.1093,19.7398,13.7293,2.0809,9.6198,2.2695,,2.9484,74.2295,15.692,21.9261,17.6584,92.7888,36.508867,-116.847798
118,CA,Inyo,2001,49.3595,21.9995,14.2051,2.1503,9.3822,2.3307,,1.908,73.3584,17.2658,25.8673,18.5379,94.1913,36.508867,-116.847798
119,CA,Inyo,2002,46.8756,19.8982,17.2071,2.6645,8.8404,3.0724,,2.3888,66.4665,16.8738,0.6914,18.4673,85.3084,36.508867,-116.847798
120,CA,Inyo,2003,46.6583,18.4687,12.858,2.1357,7.3319,2.4212,0.6264,2.3232,69.5513,17.1935,,18.7427,86.9142,36.508867,-116.847798
121,CA,Inyo,2004,49.1685,21.0136,14.581,2.42,8.8813,2.4508,2.7528,2.5526,58.1861,17.5383,,19.2405,78.2748,36.508867,-116.847798
122,CA,Inyo,2005,53.6579,17.2304,13.4888,2.2616,8.8391,2.4281,2.5516,2.4355,62.8115,19.9156,,21.5395,79.043,36.508867,-116.847798
123,CA,Inyo,2006,45.0167,16.1326,13.0618,2.4912,8.1141,2.8543,2.5143,2.4595,52.5633,15.6848,,17.3251,67.8605,36.508867,-116.847798
124,CA,Inyo,2007,44.3743,18.0122,13.8067,2.6096,7.672,3.081,2.6102,2.7642,59.0984,16.4282,,18.2719,76.1704,36.508867,-116.847798
125,CA,Mariposa,2000,38.4123,22.4896,4.7187,1.1833,5.1319,2.0226,,3.5674,44.0823,18.5631,12.1638,20.9426,65.8713,37.713251,-119.706196
126,CA,Mariposa,2001,40.2497,23.6064,6.0656,1.4262,5.4976,2.4919,,2.31,47.0576,20.451,14.544,21.992,69.9158,37.713251,-119.706196
127,CA,Mariposa,2002,38.6079,27.2105,5.4716,1.3723,5.7995,2.4434,,5.3331,51.6651,22.2453,0.6977,25.8023,78.054,37.713251,-119.706196
128,CA,Mariposa,2003,36.1285,16.7823,4.1057,1.0777,4.2197,2.0464,0.3817,4.9038,43.6712,17.5274,,20.7986,59.7586,37.713251,-119.706196
129,CA,Mariposa,2004,40.3156,21.4538,5.5368,1.3433,5.4958,2.3993,1.1181,5.6424,42.8051,20.526,,24.2897,63.5791,37.713251,-119.706196
130,CA,Mariposa,2005,39.8195,14.5259,3.7724,1.1185,4.2474,1.8265,0.8611,5.4864,40.3138,19.1989,,22.8584,54.1991,37.713251,-119.706196
131,CA,Mariposa,2006,37.1623,16.4659,4.4561,1.3486,4.5975,2.0402,0.9546,4.5298,37.1533,16.5855,,19.6066,53.0283,37.713251,-119.706196
132,CA,Mariposa,2007,39.0479,26.3914,5.1492,1.4201,5.1369,2.3457,0.9218,7.1407,44.2735,19.7561,,24.5191,69.9605,37.713251,-119.706196
133,CA,Mariposa,2008,36.1126,16.2182,5.6646,1.4091,4.7338,2.5308,1.1998,4.7768,32.3834,15.9718,,19.1579,48.0864,37.713251,-119.706196
134,CA,Mariposa,2009,32.5051,17.5867,5.028,1.3629,4.757,2.5262,1.2878,3.6565,28.1709,12.2018,,14.6404,45.3092,37.713251,-119.706196
135,CA,Mariposa,2010,27.471,12.8516,3.9374,1.1781,4.2504,1.8684,1.1207,3.759,22.143,12.0921,,14.5992,34.4742,37.713251,-119.706196
136,CA,Mariposa,2011,32.5658,15.7482,4.423,1.1615,5.0393,1.8608,1.1664,4.3037,27.7164,12.1579,,15.0284,43.0239,37.713251,-119.706196
137,CA,Mariposa,2012,34.3906,18.0153,5.3544,1.4553,5.385,2.0232,1.1821,4.3572,31.5043,15.1377,,18.0442,49.0188,37.713251,-119.706196
138,CA,Mariposa,2013,32.1957,18.1519,5.6594,1.3028,4.4573,2.261,1.0337,4.3923,29.3943,15.5536,,18.4837,47.0784,37.713251,-119.706196
139,CA,Mariposa,2014,30.9837,17.668,6.4536,1.4683,5.4321,2.3799,1.3423,3.2274,27.8139,17.4052,,19.5581,45.0393,37.713251,-119.706196
140,CA,Mariposa,2015,30.6357,18.5609,5.4973,1.3595,5.6229,2.2931,1.3795,4.8839,29.1763,20.6571,,23.9149,47.2734,37.713251,-119.706196
141,CA,Mariposa,2016,25.4841,12.3094,4.8879,1.2097,4.7269,2.5851,1.6329,5.3476,22.6586,17.6424,,21.2092,34.6072,37.713251,-119.706196
142,CA,Mariposa,2017,30.4275,17.8304,7.0029,1.4579,4.4874,4.2257,1.1211,5.3077,26.19,16.1565,,19.6969,43.6035,37.713251,-119.706196
143,CA,Mariposa,2018,27.1598,29.0624,12.865,2.1882,5.1215,6.6843,1.6306,6.6786,23.8108,15.2026,,19.6571,52.4946,37.713251,-119.706196
144,CA,San Benito,2000,56.3561,60.5209,7.222,4.3977,28.1054,3.354,,3.6191,62.0622,17.4476,20.6116,19.8617,121.596,36.483235,-121.156876
145,CA,San Benito,2001,58.753,60.9499,8.3171,5.0551,32.6738,3.8349,,2.2135,55.4725,18.1363,20.284,19.6126,115.5411,36.483235,-121.156876
146,CA,San Benito,2002,59.1482,55.1365,7.8393,4.5469,29.0567,3.7213,,4.6098,67.6423,16.4955,2.0756,19.5702,121.7038,36.483235,-121.156876
147,CA,San Benito,2003,52.317,50.0697,6.9437,4.1308,25.8162,3.3981,4.468,4.5539,55.3755,17.4277,,20.4653,104.565,36.483235,-121.156876
148,CA,San Benito,2004,55.2526,54.2172,7.0349,4.0587,25.4578,3.2163,14.7382,5.181,52.4782,16.1727,,19.6286,105.8612,36.483235,-121.156876
149,CA,San Benito,2005,54.3731,45.488,6.7144,4.1692,25.6874,3.518,18.4044,4.6077,49.6284,16.409,,19.4824,94.3273,36.483235,-121.156876
150,CA,San Benito,2006,52.3719,41.2656,6.7206,4.3895,26.1363,3.5653,16.7363,3.7992,40.2057,13.7311,,16.2649,80.8319,36.483235,-121.156876
151,CA,San Benito,2007,53.9938,54.6053,7.1871,4.5745,29.1315,3.3362,19.8722,5.9348,50.6176,15.2146,,19.1734,104.4183,36.483235,-121.156876
152,CA,San Benito,2008,58.2568,46.5705,8.6586,5.2751,33.0801,5.4806,24.7775,4.9588,50.3089,16.4945,,19.8018,96.0794,36.483235,-121.156876
153,CA,San Benito,2009,48.9097,39.6448,6.8825,4.3976,27.7001,4.0545,21.6242,3.5121,34.4934,10.9872,,13.3299,73.5899,36.483235,-121.156876
154,CA,San Benito,2010,42.7578,36.7593,6.129,4.1175,26.7585,3.3826,23.0522,3.4274,29.1939,10.4004,,12.6868,65.4893,36.483235,-121.156876
155,CA,San Benito,2011,43.7344,36.7635,5.9771,3.9166,26.0736,2.9702,21.7038,3.4785,30.8628,9.5273,,11.8475,67.1356,36.483235,-121.156876
156,CA,San Benito,2012,44.13,42.9117,7.3277,4.8266,31.9802,3.6479,27.9944,3.8486,33.3616,11.658,,14.2252,75.7434,36.483235,-121.156876
157,CA,San Benito,2013,40.6839,38.7314,7.5946,4.3067,27.2143,3.4228,24.5301,3.7064,33.8143,11.9677,,14.4396,72.0085,36.483235,-121.156876
158,CA,San Benito,2014,41.2177,41.2792,7.5153,4.7095,31.0903,3.2014,26.4265,3.0252,26.1389,12.203,,14.2208,67.0023,36.483235,-121.156876
159,CA,San Benito,2015,38.7338,40.7725,7.0312,4.2627,28.2233,3.1917,25.2941,3.8195,29.8499,17.0832,,19.6309,70.1481,36.483235,-121.156876
160,CA,San Benito,2016,36.4444,34.6786,7.8247,4.5718,29.9646,3.9642,30.2119,4.2011,23.6084,14.843,,17.6452,57.9116,36.483235,-121.156876
161,CA,San Benito,2017,36.9407,34.4559,7.9451,4.2504,26.8685,3.9587,24.1686,3.8679,25.1655,15.3382,,17.9178,59.2208,36.483235,-121.156876
162,CA,San Benito,2018,32.1478,31.4535,7.2274,4.2131,27.5585,3.5707,26.4503,3.309,19.7525,10.1484,,12.3551,50.8926,36.483235,-121.156876
163,CA,San Bernardino,2000,51.227,54.1765,15.7622,2.7045,10.467,2.8762,,2.483,107.4825,21.7722,39.4971,23.4281,159.95,34.069569,-116.388933
